id,bar_id,user_id,user_name,added,fill_percentage,product_id,product_name,brand,brand_id,spirit,size,proof,average_msrp,fair_price,shelf_price,popularity
1000051,1000051,100005,tom,2024-01-10,75,17299,Frey Ranch Bourbon,Frey,3285,Bourbon,750,90,49.99,63.6,51.56,200
1000052,1000052,100005,tom,2023-04-23,5,859,Monkey Shoulder,Monkey,483,Scotch,750,86,33.89,51.34,37.26,1900
1000053,1000053,100006,lily,2024-01-22,75,33209,Russell’s Reserve 15 Year,Russell’s,496,Bourbon,750,117.2,249.99,362.17,398.31,100187
1000054,1000054,100006,lily,2023-11-21,5,20206,Larceny Small Batch,Larceny,587,Bourbon,750,92.0,27.49,38.99,31.99,
1000055,1000055,100006,lily,2024-01-28,0,19555,Redwood Empire Emerald Giant Cask Strength,Redwood,445,Rye,750,117,70,81.07,78.59,200
1000056,1000056,100006,lily,2024-01-23,50,281,Jefferson's Ocean Aged At Sea Voyage 17,Jefferson's,232,Bourbon,750,90,50.24,64.63,56.27,200
1000057,1000057,100006,lily,2023-05-24,25,2147,High West Campfire,High,350,Whiskey,750,92,69,82.92,71.49,90
1000058,1000058,100006,lily,2023-04-03,100,1641,Wild Turkey Kentucky Spirit Single Barrel,Wild,191,Bourbon,750,101,57.2,92.34,68.93,100055
1000059,1000059,100006,lily,2024-03-20,0,18042,Stagg Jr. - Batch #16,Stagg,3640,Bourbon,750,131,53.3,139.68,367.16,200
1000060,1000060,100006,lily,2023-12-30,50,651,Willett Pot Still Reserve Bourbon,Willett,2986,Bourbon,1750,94,112.49,134.22,113.29,
1000061,1000061,100006,lily,2024-03-12,75,2849,Hancock's President's Reserve Bourbon,Hancock's,2320,Bourbon,750,88.9,51.64,128.09,189.89,100043
1000062,1000062,100006,lily,2023-10-03,25,281,Jefferson's Ocean Aged At Sea Voyage 17,Jefferson's,232,Bourbon,750,90,50.24,64.63,56.27,200
1000063,1000063,100006,lily,2023-05-22,25,17181,Booker’s Bourbon 2021-03 Bardstown Batch,Booker’s,647,Bourbon,750,127,89.99,166.78,229.99,200
1000064,1000064,100006,lily,2023-03-20,50,16960,Basil Hayden Toast,Basil,330,Bourbon,750,80.0,51.63,71.49,58.94,600
1000065,1000065,100006,lily,2024-03-29,100,19503,Ben Holladay Soft Red Wheat Bottled in Bond,Ben,3647,Bourbon,750,100,59.97,77.74,59.99,100050
1000066,1000066,100007,julia594,2023-03-19,25,2839,Caribou Crossing,Caribou,3733,Canadian Whisky,750,80,49.96,95.28,59.57,100083
1000067,1000067,100007,julia594,2023-03-24,75,46254,Wild Turkey Jimmy Russell 70th Anniversary,Wild,191,Bourbon,750,101,49.99,75.72,69.82,100158
1000068,1000068,100007,julia594,2023-03-22,25,12408,Don Julio 1942,Don,1592,Tequila,750,80.0,142.46,190.43,175.96,200
1000069,1000069,100007,julia594,2023-10-27,5,1286,Shenk's Homestead Sour Mash Whiskey 2022 Release,Shenk's,3854,Whiskey,750,91,99.97,121.62,186.56,200
1000070,1000070,100007,julia594,2024-02-16,5,17420,Elijah Craig 1991 20 Year Single Barrel #42,Elijah,2,Bourbon,750,90.0,159.99,831.74,2846.99,1960
1000071,1000071,100007,julia594,2024-01-21,0,4905,Elmer T. Lee,Elmer,700,Bourbon,750,90,56.66,147.57,329.87,100142
1000072,1000072,100007,julia594,2024-01-03,100,1462,Larceny,Larceny,587,Bourbon,750,92,25.81,39.24,31.99,200
1000073,1000073,100007,julia594,2023-07-13,50,17158,Blue Note Crossroads,Blue,3068,Bourbon,750,100,40.99,55.93,44.16,200
1000074,1000074,100008,julia884,2023-07-27,75,34570,Green River Full Proof,Green,3445,Bourbon,750,117.3,50,67.46,52.82,100049
1000075,1000075,100008,julia884,2023-01-29,25,2193,Evan Williams Bottled in Bond White Label,Evan,167,Bourbon,750,100,17.02,32.19,20.19,1999
1000076,1000076,100008,julia884,2023-07-18,100,2371,Old Grand Dad,Old,793,Bourbon,750,80,17.79,21.21,26.66,1880
1000077,1000077,100008,julia884,2023-10-02,75,1296,Knob Creek 12 Year,Knob,189,Bourbon,750,100.0,61.99,86.81,91.29,100113
1000078,1000078,100008,julia884,2023-07-28,75,20574,Little Book Chapter 7: In Retrospect,Little,823,Whiskey,750,118,159.98,227.42,170,
1000079,1000079,100008,julia884,2023-05-19,25,15966,Knob Creek 9 Year,Knob,189,Bourbon,750,100,34.99,50.86,37.88,100050
1000080,1000080,100008,julia884,2023-07-23,75,4373,Four Roses Small Batch Select,Four,148,Bourbon,750,104.0,59.98,77.21,72.3,100044
1000081,1000081,100008,julia884,2023-11-09,50,1046,Double Eagle Very Rare,Double,542,Bourbon,750,90,1944.94,3048.26,12138.3,1996
1000082,1000082,100008,julia884,2023-04-26,50,2329,Buffalo Trace White Dog Mash 1,Buffalo,245,Whiskey,375,125,16.65,20.66,19.44,40
1000083,1000083,100008,julia884,2024-01-04,0,17299,Frey Ranch Bourbon,Frey,3285,Bourbon,750,90,49.99,63.6,51.56,200
1000084,1000084,100008,julia884,2024-02-29,0,1297,Russell's Reserve 6 Years Rye,Russell's,496,Rye,750,90,41.26,48.3,48.16,200
1000085,1000085,100008,julia884,2023-10-03,50,4742,Old Grand Dad 114,Old,793,Bourbon,750,114,30.75,40.74,33.84,100053
1000086,1000086,100008,julia884,2023-05-27,50,542,Green Spot,Green,379,Irish Whiskey,750,80,66.19,75.21,69.16,200
1000087,1000087,100008,julia884,2024-03-28,10,4476,Michter's Toasted Barrel Strength Rye Whiskey,Michter's,405,Rye,750,120,62.66,93.42,138.83,200
1000088,1000088,100009,david,2023-03-22,25,859,Monkey Shoulder,Monkey,483,Scotch,750,86,33.89,51.34,37.26,1900
1000089,1000089,100009,david,2024-01-08,25,803,Redwood Empire Pipe Dream,Redwood,445,Bourbon,750,90,40.64,50.33,45.91,100043
1000090,1000090,100009,david,2023-09-07,0,19975,Elijah Craig Barrel Proof Batch B523,Elijah,2,Bourbon,750,124,72.47,115.23,69.99,200
1000091,1000091,100010,jake869,2024-01-04,50,4450,Buffalo Trace,Buffalo,245,Bourbon,1000,90,31.77,58.32,39,100050
1000092,1000092,100010,jake869,2023-02-28,75,149,Woodford Reserve Double Oaked,Woodford,2004,Bourbon,375,90.4,29.39,49.68,31.03,
1000093,1000093,100010,jake869,2023-06-27,10,3793,High West American Prairie Bourbon,High,350,Bourbon,750,92,36.82,57.5,40.8,100
1000094,1000094,100010,jake869,2024-03-09,10,48295,Booker’s Bourbon 2024-03,Booker’s,647,Bourbon,750,130.3,99.99,135.62,114.99,100038
1000095,1000095,100010,jake869,2023-01-07,10,4859,Tincup American Whiskey 10 Year,Tincup,731,Whiskey,750,84,52.46,66.55,53.49,200
1000096,1000096,100010,jake869,2024-04-05,10,1816,Wild Turkey Rare Breed,Wild,191,Bourbon,750,116.8,46.03,70.61,68.79,100084
1000097,1000097,100010,jake869,2023-11-03,25,1269,Maker's Mark 46,Maker's,333,Bourbon,750,94,25.99,42.09,36.66,100027
1000098,1000098,100010,jake869,2023-08-23,50,1580,Colonel E.H. Taylor Amaranth,Colonel,210,Bourbon,750,100,68.03,210.62,1829.59,1700
1000099,1000099,100010,jake869,2023-08-15,0,858,Ezra Brooks Distiller's Collection,Ezra,324,Bourbon,750,107,38.31,41.54,41.82,200
1000100,1000100,100010,jake869,2024-02-20,75,4598,Weller Antique 107,Weller,156,Bourbon,1750,107,99.99,165.4,299.99,100058
1000101,1000101,100010,jake869,2023-10-08,75,786,Bulleit 95 Rye,Bulleit,415,Rye,750,90,28.97,39.08,49.82,200
1000102,1000102,100010,jake869,2023-08-16,5,2316,Old Elk Wheated Bourbon,Old,252,Bourbon,750,92,67.2,67.83,69.72,200
1000103,1000103,100011,olivia836,2023-03-26,10,4033,Pikesville Rye Whiskey,Pikesville,8412,Rye,750,110,50.87,70.52,55.66,200
1000104,1000104,100011,olivia836,2023-05-23,50,17054,Buffalo Trace Kosher Bourbon Rye Recipe,Buffalo,245,Bourbon,750,94,39.99,109.08,128.37,600
1000105,1000105,100011,olivia836,2024-02-29,100,17632,Elijah Craig Barrel Proof Batch A122,Elijah,2,Bourbon,750,121,69.97,127.1,90.02,1200
1000106,1000106,100011,olivia836,2024-02-28,10,3959,William Larue Weller - 2009,William,156,Bourbon,750,134.8,104.14,563.81,1296.96,1820
1000107,1000107,100011,olivia836,2023-01-31,50,18042,Stagg Jr. - Batch #16,Stagg,3640,Bourbon,750,131,53.3,139.68,367.16,200
1000108,1000108,100011,olivia836,2023-03-09,25,1419,Isaac Bowman Port Barrel Finish Bourbon,Isaac,6683,Bourbon,750,92,39.3,60.52,61.79,200
1000109,1000109,100011,olivia836,2024-02-12,10,16693,Hibiki Japanese Harmony,Hibiki,484,Blended Whisky,750,86.0,87.47,112.22,92,600
1000110,1000110,100011,olivia836,2023-02-15,50,858,Ezra Brooks Distiller's Collection,Ezra,324,Bourbon,750,107,38.31,41.54,41.82,200
1000111,1000111,100011,olivia836,2023-02-25,50,2848,Eagle Rare 10 Year,Eagle,542,Bourbon,750,90.0,39.99,66.25,49.99,100519
1000112,1000112,100012,sophiahall,2024-02-02,5,16791,Colonel E.H. Taylor Warehouse C,Colonel,210,Bourbon,750,100,73.97,475.05,1645.42,200
1000113,1000113,100012,sophiahall,2024-04-02,100,17223,Blanton's Special Reserve,Blanton's,10,Bourbon,700,80,49.99,95.02,169.13,
1000114,1000114,100012,sophiahall,2023-05-05,25,19807,Stagg - 23A,Stagg,3640,Bourbon,750,130,69.99,170.8,271.65,200
1000115,1000115,100012,sophiahall,2024-02-08,100,15984,Old Forester 150th Anniversary,Old,152,Bourbon,750,127,150,270.36,512.47,1998
1000116,1000116,100012,sophiahall,2023-01-31,5,1355,Nikka Coffey Grain Japanese Whisky,Nikka,378,Japanese Whisky,750,90,70.92,76.44,75.66,1940
1000117,1000117,100012,sophiahall,2023-04-20,100,21024,Stagg 127.8 Proof,Stagg,3640,Bourbon,750,127.8,60,168.23,259.78,
1000118,1000118,100012,sophiahall,2023-10-27,5,4255,Blade and Bow Bourbon,Blade,674,Bourbon,750,91,48.82,72.02,50.79,100053
1000119,1000119,100012,sophiahall,2023-05-08,50,3249,Wild Turkey Rare Breed Barrel Proof Rye,Wild,191,Rye,750,116,57.48,81.77,74.89,200
1000120,1000120,100012,sophiahall,2023-05-06,75,17378,Elijah Craig Barrel Proof Batch B521,Elijah,2,Bourbon,750,118,69.97,83.14,122.66,1200
1000121,1000121,100013,alex109,2024-03-04,50,2028,Jack Daniel's Single Barrel Eric Church,Jack,231,Whiskey,750,94,54.97,133.4,329.82,1800
1000122,1000122,100013,alex109,2024-02-07,50,17299,Frey Ranch Bourbon,Frey,3285,Bourbon,750,90,49.99,63.6,51.56,200
1000123,1000123,100013,alex109,2023-11-10,25,5120,"E.H. Taylor, Jr. Single Barrel",E.H.,210,Bourbon,750,100.0,73.76,166.45,135.14,100206
1000124,1000124,100013,alex109,2023-01-01,25,4662,Henry McKenna 10 Year,Henry,777,Bourbon,750,100.0,60.49,75.24,79.99,100145
1000125,1000125,100013,alex109,2023-03-16,50,14303,Elijah Craig Barrel Proof Batch C917,Elijah,2,Bourbon,750,131,62.48,98.07,89.99,1200
1000126,1000126,100013,alex109,2023-07-15,100,17264,New Riff 6 Year Malted Rye,New,254,Rye,750,100,59.99,82.22,80.56,200
1000127,1000127,100013,alex109,2023-01-27,50,19540,Bardstown Origin Series Bourbon,Bardstown,778,Bourbon,750,96,46.64,63.05,48.49,200
1000128,1000128,100013,alex109,2023-02-19,75,19975,Elijah Craig Barrel Proof Batch B523,Elijah,2,Bourbon,750,124,72.47,115.23,69.99,200
1000129,1000129,100013,alex109,2023-10-14,75,15984,Old Forester 150th Anniversary,Old,152,Bourbon,750,127,150,270.36,512.47,1998
1000130,1000130,100013,alex109,2023-06-01,5,3672,Angel's Envy Cask Strength,Angel's,96,Bourbon,750,119.3,218.73,226.76,250.83,100
1000131,1000131,100013,alex109,2023-03-12,100,2670,Michter's Limited Release Toasted Barrel Strength,Michter's,405,Bourbon,750,110,79.15,146.87,339.85,200
1000132,1000132,100013,alex109,2023-07-30,25,3867,Blanton's,Blanton's,10,Bourbon,50,93,8.81,18.72,44.19,
1000133,1000133,100013,alex109,2023-10-21,10,2363,W.B. Saffell,W.B.,191,Bourbon,375,107.0,49.97,59.47,58.14,
1000134,1000134,100013,alex109,2023-08-15,10,993,High West Rendezvous Rye,High,350,Rye,750,92,68.7,74.45,74.85,200
1000135,1000135,100013,alex109,2024-01-07,50,1133,Uncle Nearest 1856,Uncle,567,Whiskey,750,100,55.88,88.5,64.29,1996
1000136,1000136,100014,john370,2023-01-05,75,15967,Horse Soldier Bourbon,Horse,3188,Bourbon,750,86,53.47,77.69,53.58,1900
1000137,1000137,100014,john370,2023-09-25,10,18396,Ben Holladay Bottled in Bond Bourbon,Ben,3647,Bourbon,750,100,59.98,75.46,67.99,100027
1000138,1000138,100014,john370,2023-07-11,50,3265,Crown Royal Salted Caramel,Crown,182,Canadian Whisky,750,70,28.14,51.64,30.11,100029
1000139,1000139,100014,john370,2023-02-28,75,3123,Jameson Irish Whiskey Triple Distilled,Jameson,214,Irish Whiskey,750,80,28.69,33.53,37.24,1996
1000140,1000140,100014,john370,2024-01-01,25,4373,Four Roses Small Batch Select,Four,148,Bourbon,750,104.0,59.98,77.21,72.3,100044
1000141,1000141,100014,john370,2023-12-30,50,16486,New Riff Bourbon Single Barrel Barrel Proof,New,254,Bourbon,750,110,55.14,67.62,61.66,200
1000142,1000142,100014,john370,2023-06-13,10,5151,Bulleit 12 Year Rye,Bulleit,415,Rye,750,92,51.63,70.95,55.97,100026
1000143,1000143,100014,john370,2023-07-17,100,41273,Stagg Batch 24A,Stagg,3640,Bourbon,750,127.6,65,172.98,207.47,100046
1000144,1000144,100015,james545,2023-10-19,50,5208,Ancient Age,Ancient,93,Bourbon,750,80,11.89,14.3,15.24,100
1000145,1000145,100015,james545,2023-09-19,5,1046,Double Eagle Very Rare,Double,542,Bourbon,750,90,1944.94,3048.26,12138.3,1996
1000146,1000146,100015,james545,2024-01-18,50,18439,Four Roses Single Barrel Barrel Proof OESV,Four,148,Bourbon,750,110,80,123.39,201.83,200
1000147,1000147,100015,james545,2024-02-14,25,4813,Maker's Mark 46 Cask Strength,Maker's,333,Bourbon,750,110,58.97,79.52,81.29,200
1000148,1000148,100015,james545,2023-02-06,5,19851,Maker’s Mark French Oaked No. 46 Cask Strength 23-01,Maker’s,333,Bourbon,750,110,65,67.83,76.33,200
1000149,1000149,100015,james545,2024-02-14,75,159,Blanton's Gold Edition,Blanton's,10,Bourbon,750,103,119.99,232.52,324.99,100190
1000150,1000150,100015,james545,2024-02-13,25,5131,Jack Daniel's Single Barrel Barrel Proof,Jack,231,Whiskey,375,128,33.97,75.34,45.88,60
1000151,1000151,100015,james545,2023-09-16,0,46347,Jack Daniel's Coy Hill Barrelhouse 8 2024 Special Release Single Barrel Whiskey,Jack,231,Whiskey,750,135,79.99,252.21,549.99,100062
1000152,1000152,100015,james545,2023-03-29,50,355,Baker's 7 Year 107 Proof,Baker's,288,Bourbon,750,107.0,61.08,85.23,74.99,100050
1000153,1000153,100015,james545,2023-02-07,25,2371,Old Grand Dad,Old,793,Bourbon,750,80,17.79,21.21,26.66,1880
1000154,1000154,100016,julia-james,2024-01-10,75,19790,Penelope Bourbon Cooper Series - Valencia,Penelope,2817,Bourbon,750,98,89.99,108.79,79.99,100044
1000155,1000155,100016,julia-james,2024-01-22,100,466,Buffalo Trace,Buffalo,245,Bourbon,750,90,26.99,41.82,36.96,100447
1000156,1000156,100016,julia-james,2023-11-19,75,15345,King Of Kentucky,King,6734,Whiskey,750,125.8,249.99,386.68,407.08,200
1000157,1000157,100016,julia-james,2024-02-06,75,2287,Nikka Whisky From The Barrel,Nikka,378,Whiskey,500,102.8,69.95,75.03,73.26,1880
1000158,1000158,100016,julia-james,2023-01-03,0,4255,Blade and Bow Bourbon,Blade,674,Bourbon,750,91,48.82,72.02,50.79,100053
1000159,1000159,100016,julia-james,2023-07-28,100,15946,Smoke Wagon Uncut Unfiltered Bourbon,Smoke,2808,Bourbon,750,116,64.99,107.24,147.89,100029
1000160,1000160,100017,james,2023-03-19,100,150,1792 Full Proof,1792,42,Bourbon,750,125.0,45.92,73.06,79.87,100098
1000161,1000161,100017,james,2023-01-22,75,17248,Benchmark Full Proof,Benchmark,3330,Bourbon,750,125,21.47,33.47,25.99,100037
1000162,1000162,100017,james,2024-01-10,10,4581,Basil Hayden's Dark Rye,Basil,330,Rye,750,80,43.38,65.11,49.99,80
1000163,1000163,100017,james,2023-09-16,25,18002,Evan Williams Single Barrel Vintage 2014,Evan,167,Bourbon,750,86.6,28.75,55.34,135.11,200
1000164,1000164,100017,james,2023-01-22,5,2685,Blackened,Blackened,822,Whiskey,750,90,49.22,52.69,51.16,200
1000165,1000165,100017,james,2023-12-13,25,19807,Stagg - 23A,Stagg,3640,Bourbon,750,130,69.99,170.8,271.65,200
1000166,1000166,100017,james,2024-02-16,10,3562,Van Winkle Family Reserve 13 Year Rye,Van,370,Rye,750,95.6,134.89,518.88,1757.32,200
1000167,1000167,100017,james,2024-02-28,25,286,Buffalo Trace Kosher Wheat 7 Year,Buffalo,245,Bourbon,750,94.0,39.99,85.93,79.98,200
1000168,1000168,100017,james,2024-02-08,50,4984,"E.H. Taylor, Jr. Small Batch",E.H.,210,Bourbon,750,100.0,44.99,94.43,93.57,100407
1000169,1000169,100017,james,2023-06-29,75,46347,Jack Daniel's Coy Hill Barrelhouse 8 2024 Special Release Single Barrel Whiskey,Jack,231,Whiskey,750,135,79.99,252.21,549.99,100062
1000170,1000170,100017,james,2024-02-08,0,17264,New Riff 6 Year Malted Rye,New,254,Rye,750,100,59.99,82.22,80.56,200
1000171,1000171,100017,james,2023-09-10,50,2311,Redwood Empire Emerald Giant,Redwood,445,Rye,750,90,40.64,44.2,41.96,200
1000172,1000172,100018,rachellee,2023-02-26,75,2353,Knob Creek 15 Year Batch KC001,Knob,189,Bourbon,750,100.0,113.3,174.28,119.99,1600
1000173,1000173,100018,rachellee,2023-07-12,5,2331,Eagle Rare 10 Year,Eagle,542,Bourbon,375,90,17.63,63.59,24.99,
1000174,1000174,100018,rachellee,2024-03-07,100,859,Monkey Shoulder,Monkey,483,Scotch,750,86,33.89,51.34,37.26,1900
1000175,1000175,100018,rachellee,2023-07-04,50,3819,1792 Single Barrel,1792,42,Bourbon,750,98.6,41.35,68,52.99,100080
1000176,1000176,100018,rachellee,2024-03-26,100,1580,Colonel E.H. Taylor Amaranth,Colonel,210,Bourbon,750,100,68.03,210.62,1829.59,1700
1000177,1000177,100018,rachellee,2023-11-15,5,41273,Stagg Batch 24A,Stagg,3640,Bourbon,750,127.6,65,172.98,207.47,100046
1000178,1000178,100018,rachellee,2023-11-11,5,841,Peerless Bourbon Small Batch,Peerless,163,Bourbon,750,107,72.99,99.58,80.29,100027
1000179,1000179,100018,rachellee,2023-06-20,25,19720,Green River Wheated Sour Mash,Green,3445,Bourbon,750,90,35,45.61,35.99,100041
1000180,1000180,100018,rachellee,2023-03-15,0,16078,Russell's Reserve 13 Years Bourbon,Russell's,496,Bourbon,750,114.8,109.97,246.23,264.99,100064
1000181,1000181,100018,rachellee,2023-11-02,100,2879,1792 Sweet Wheat Bourbon,1792,42,Bourbon,750,91.2,37.34,87.85,77.49,100063
1000182,1000182,100018,rachellee,2023-02-26,0,2086,Knob Creek Smoked Maple,Knob,189,Bourbon,750,90,34.68,49.1,37.86,200
1000183,1000183,100019,emmawright,2023-04-13,25,4033,Pikesville Rye Whiskey,Pikesville,8412,Rye,750,110,50.87,70.52,55.66,200
1000184,1000184,100019,emmawright,2024-01-01,0,2533,Knob Creek 9 Year Single Barrel Reserve,Knob,189,Bourbon,750,120,55.1,85.23,67.62,100028
1000185,1000185,100019,emmawright,2023-08-14,25,158,Weller Antique 107,Weller,156,Bourbon,750,107.0,56.35,116.66,109.89,100266
1000186,1000186,100019,emmawright,2023-05-31,0,17214,Horse Soldier Small Batch,Horse,3188,Bourbon,750,95,71.73,76.79,74.56,800
